geoid,commercial_landuse,food_point,food_poly,health_point,health_poly,industrial_landuse,main_road_line,natural_landuse,other_road_line,residential_landuse,residential_line,retail_landuse,retail_point,retail_poly,school_point,school_poly,transport_point,transport_poly,total_population
36081094700,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.474376000088063e-14,1.3347683013097629e-08,0.0,3.3589093836628514e-08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3035
36103145703,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6026105380587905e-07,0.0,2.2749515233695345e-07,3.5684233300102424e-12,1.0,0.0,0.0,1.0,0.0,0.0,6011
36025970102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.851364068010593e-07,0.0,1.4873490965641222e-06,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2955
36029004300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.207017949230956e-08,0.0,1.631301681017158e-07,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6373
36047047600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4863935000077702e-14,6.2386502139722955e-09,2.2374450250079825e-12,3.5195114013119245e-08,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4054
36059300902,0.0,0.0,0.0,0.0,1.0,0.0,2.667573233900449e-07,2.251398604500881e-11,3.7919378087301113e-07,7.393743626999912e-11,3.901550076728091e-07,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5464
36047019200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.448828812339101e-09,4.010069624986571e-12,3.6752406837112154e-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3541
36051030600,0.0,0.0,2.0,0.0,0.0,1.1317103323499408e-10,0.0,0.0,9.628761322423875e-07,0.0,8.092208700374187e-07,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4154
36081021603,0.0,0.0,0.0,0.0,0.0,0.0,2.086567326872677e-08,0.0,9.850178053785909e-08,0.0,7.3842573994815715e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36047042600,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.985492206397737e-09,0.0,2.6797746165180664e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4350
36047120801,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1947071141119124e-08,0.0,6.705810785717243e-08,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3999
36103135201,0.0,3.0,1.0,0.0,0.0,0.0,1.3203841742321753e-08,0.0,9.534948980570763e-08,0.0,1.3284245528963537e-07,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2071
36081013500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2179882034038996e-08,9.039248600001951e-12,1.8988679875792544e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1526
36005015500,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0408843369486072e-08,0.0,1.4372265915619628e-08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2891
36103158514,2.9655827579996646e-11,1.0,1.0,0.0,0.0,0.0,5.8572539886660576e-08,5.5555188479962394e-11,2.071662379464704e-07,1.0589191850500003e-09,3.757150819677612e-07,4.3263619350134976e-12,1.0,0.0,0.0,1.0,0.0,0.0,6613
36063940001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.415251944410403e-07,0.0,1.972598745798547e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1145
36085007700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.234370000006619e-14,5.057289834288905e-09,0.0,3.454240633973139e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1762
36071014102,0.0,0.0,0.0,0.0,0.0,3.945619935013937e-12,5.1780369818952534e-08,7.43047817501201e-12,3.8753197190729493e-07,0.0,3.382880930785321e-07,1.5734970040019076e-11,0.0,0.0,1.0,0.0,0.0,0.0,5819
36005012500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2068388652484609e-08,0.0,2.590449663178957e-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4139
