"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US53021020603","Census Tract 206.03; Franklin County; Washington","5151",
"1400000US53021020605","Census Tract 206.05; Franklin County; Washington","10570",
"1400000US53021020606","Census Tract 206.06; Franklin County; Washington","8686",
"1400000US53021020607","Census Tract 206.07; Franklin County; Washington","6332",
"1400000US53021020608","Census Tract 206.08; Franklin County; Washington","6843",
"1400000US53021020700","Census Tract 207; Franklin County; Washington","1499",
"1400000US53021020801","Census Tract 208.01; Franklin County; Washington","3525",
"1400000US53021020802","Census Tract 208.02; Franklin County; Washington","6154",
"1400000US53021980100","Census Tract 9801; Franklin County; Washington","0",
"1400000US53023970300","Census Tract 9703; Garfield County; Washington","2286",
"1400000US53025010100","Census Tract 101; Grant County; Washington","3633",
"1400000US53025010200","Census Tract 102; Grant County; Washington","3314",
"1400000US53025010300","Census Tract 103; Grant County; Washington","4642",
"1400000US53025010401","Census Tract 104.01; Grant County; Washington","3241",
"1400000US53025010402","Census Tract 104.02; Grant County; Washington","5630",
"1400000US53025010500","Census Tract 105; Grant County; Washington","3341",
"1400000US53025010600","Census Tract 106; Grant County; Washington","7601",
"1400000US53025010700","Census Tract 107; Grant County; Washington","3327",
"1400000US53025010800","Census Tract 108; Grant County; Washington","4607",
"1400000US53025010901","Census Tract 109.01; Grant County; Washington","1590",
"1400000US53025010903","Census Tract 109.03; Grant County; Washington","5527",
"1400000US53025010904","Census Tract 109.04; Grant County; Washington","6282",
"1400000US53025011001","Census Tract 110.01; Grant County; Washington","6660",
"1400000US53025011002","Census Tract 110.02; Grant County; Washington","6849",
"1400000US53025011101","Census Tract 111.01; Grant County; Washington","4188",
"1400000US53025011102","Census Tract 111.02; Grant County; Washington","3814",
"1400000US53025011200","Census Tract 112; Grant County; Washington","6132",
"1400000US53025011300","Census Tract 113; Grant County; Washington","3687",
"1400000US53025011401","Census Tract 114.01; Grant County; Washington","2581",
"1400000US53025011403","Census Tract 114.03; Grant County; Washington","4708",
"1400000US53025011404","Census Tract 114.04; Grant County; Washington","1411",
"1400000US53025011405","Census Tract 114.05; Grant County; Washington","3042",
"1400000US53025011406","Census Tract 114.06; Grant County; Washington","3316",
"1400000US53027000201","Census Tract 2.01; Grays Harbor County; Washington","6728",
"1400000US53027000202","Census Tract 2.02; Grays Harbor County; Washington","2018",
"1400000US53027000300","Census Tract 3; Grays Harbor County; Washington","3308",
"1400000US53027000401","Census Tract 4.01; Grays Harbor County; Washington","2927",
"1400000US53027000402","Census Tract 4.02; Grays Harbor County; Washington","3978",
"1400000US53027000501","Census Tract 5.01; Grays Harbor County; Washington","2994",
"1400000US53027000502","Census Tract 5.02; Grays Harbor County; Washington","4192",
