geoid_o,geoid_d,pop_flows
36119009701,36119009300,80.0
36005002702,36119009000,20.0
36119009400,36119009800,57.0
36119009000,36061005600,25.0
36119002104,36119010803,41.0
36119009300,36061008200,19.0
36119009702,36119011902,16.0
36119010804,36061023100,23.0
36119009702,36119003700,16.0
36119005902,36119985000,23.0
36005004200,36119009300,15.0
36089491400,36045061600,33.0
36119005800,36119009400,27.0
36089492700,36089491500,73.0
36061014700,36119985000,52.0
36119009702,36119008602,80.0
36089491600,36089490300,45.0
36061027900,36119009000,34.0
36119010804,36119008401,47.0
36057072100,36115090000,15.0
36081030904,36119008200,17.0
36119008200,36119007401,20.0
36055011800,36115090000,9.0
36005038000,36119009100,17.0
36119001900,36119009400,54.0
36119013500,36119009300,13.0
36119009000,36119000803,25.0
36005022404,36119010803,20.0
36083051702,36061025100,22.0
36083051701,36083041400,33.0
36119012400,36119009702,63.0
36005040800,36119009100,19.0
36071011102,36119009400,30.0
36067015000,36119009000,18.0
36119008200,36119012700,20.0
36091062503,36029990000,8.0
36119010804,36119010903,94.0
36119008700,36119002101,16.0
36087011000,36119009702,21.0
36119009100,36119007300,24.0
36119011902,36119009702,17.0
36119006600,36119009500,23.0
36119007300,36119009400,185.0
36119002403,36119010803,17.0
36119006900,36119985000,22.0
36083052103,36083052301,73.0
36119013104,36119009500,15.0
36005027900,36119009300,20.0
36119009100,36119013600,24.0
36061023900,36119009702,22.0
36119013900,36119008901,18.0
36119014909,36119008901,18.0
36027060302,36119009400,18.0
36119009100,36119010901,73.0
36091062300,36083051701,17.0
36119009500,36005029700,22.0
36083051701,36083052402,16.0
36119011200,36119009400,132.0
36119002405,36119009300,21.0
36119012000,36119008700,33.0
36119008200,36119008401,81.0
36089491500,36089490900,77.0
36115085000,36115090000,61.0
36047118400,36119009100,23.0
36005025500,36119009400,17.0
36087013003,36119009400,27.0
36089491400,36089490900,67.0
36061019400,36119009300,17.0
36115090000,36113070500,15.0
36089491400,36033950502,100.0
36103111601,36083051701,32.0
36089491600,36089492800,68.0
36083052103,36051030500,18.0
36119000900,36119009400,35.0
36119010804,36047054300,23.0
36119009702,36119013102,16.0
36119004900,36119009400,64.0
36089491600,36087010801,22.0
36119013201,36119985000,15.0
36089491700,36089491500,832.0
