origin,destination,flow,target
53011041011,53011042400,434.54166,634.0
53011041011,53011041111,393.59744,260.0
53011041011,53011041310,69.10156,0.0
53011041011,53011042700,415.40152,130.0
53011041011,53011041325,48.464672,0.0
53011041011,53011041205,258.80054,260.0
53011041011,53011042300,442.2997,211.0
53011041011,53011041011,619.04175,1204.0
53011041011,53011041323,120.30156,130.0
53011041011,53011041321,50.011456,65.0
53011041011,53011041313,209.4373,0.0
53011041011,53011040604,26.219465,65.0
53011041011,53011041600,470.50336,520.0
53011041011,53011042500,353.3604,390.0
53011041011,53011041003,261.73312,130.0
53011041011,53011041104,178.9917,0.0
53011041011,53011041329,112.44146,195.0
53011041011,53011042800,326.96988,65.0
53011041011,53011041900,352.9568,553.0
53011041011,53011041203,290.64777,1220.0
53011041011,53011043100,185.20341,0.0
53011041011,53011042100,299.40784,130.0
53011041011,53011041206,167.53297,97.0
53011041011,53011041208,147.54745,0.0
53011041011,53011041334,60.89985,65.0
53011041011,53011041333,73.60941,0.0
53011041011,53011041700,514.4193,195.0
53011041011,53011041330,94.23326,65.0
53011041011,53011041331,137.00984,0.0
53011041011,53011041309,85.248344,0.0
53011041011,53011041326,101.04302,0.0
53011041011,53011041322,277.71692,569.0
53011041011,53011043000,182.60545,0.0
53011041011,53011041114,306.4194,1415.0
53011041011,53011041328,70.81113,0.0
53011041011,53011042000,253.04398,0.0
53011041011,53011041320,92.37608,130.0
53011041011,53011041319,73.772354,0.0
53011041011,53011041112,282.70197,0.0
53011041011,53011041800,397.63608,65.0
53011041011,53011041317,175.03981,130.0
53011041011,53011041105,307.84598,699.0
53011041011,53011041337,128.91895,130.0
53011041011,53011042601,448.15466,927.0
53011041011,53011041312,164.10454,130.0
53011041011,53011042900,214.06583,195.0
53011041011,53011041110,278.77213,65.0
53011041011,53011041332,84.03695,0.0
53011041104,53011041600,514.4521,380.0
53011041104,53011041700,349.27545,285.0
53011041104,53011041337,504.89627,476.0
53011041104,53011040604,114.13486,95.0
53011041104,53011042800,324.37637,0.0
53011041104,53011041105,425.96198,761.0
53011041104,53011041331,541.4557,95.0
