origin,destination,flow,target
53011041011,53011041600,459.774,520.0
53011041011,53011042700,392.53998,130.0
53011041011,53011041310,67.674576,0.0
53011041011,53011041111,314.66345,260.0
53011041011,53011041317,114.1422,130.0
53011041011,53011041330,96.44344,65.0
53011041011,53011042300,403.4773,211.0
53011041011,53011041011,777.5453,1204.0
53011041011,53011041208,178.9063,0.0
53011041011,53011041332,76.90423,0.0
53011041011,53011041334,60.00167,65.0
53011041011,53011041331,131.00993,0.0
53011041011,53011041700,555.7984,195.0
53011041011,53011041110,305.48398,65.0
53011041011,53011041003,367.25876,130.0
53011041011,53011041329,45.651478,195.0
53011041011,53011041313,157.02884,0.0
53011041011,53011041104,177.27034,0.0
53011041011,53011041309,90.53688,0.0
53011041011,53011041206,151.31332,97.0
53011041011,53011042000,385.4315,0.0
53011041011,53011040604,39.10833,65.0
53011041011,53011041322,93.37774,569.0
53011041011,53011041337,104.65571,130.0
53011041011,53011041112,264.58102,0.0
53011041011,53011041800,526.4701,65.0
53011041011,53011041320,70.06521,130.0
53011041011,53011041321,54.0768,65.0
53011041011,53011041114,215.35933,1415.0
53011041011,53011042800,394.84387,65.0
53011041011,53011042100,406.59012,130.0
53011041011,53011041325,42.342564,0.0
53011041011,53011041333,85.945244,0.0
53011041011,53011041328,45.46742,0.0
53011041011,53011041319,75.673775,0.0
53011041011,53011042400,349.85483,634.0
53011041011,53011041900,457.377,553.0
53011041011,53011041312,103.4258,130.0
53011041011,53011042601,424.20926,927.0
53011041011,53011041203,192.7878,1220.0
53011041011,53011041323,68.84113,130.0
53011041011,53011041105,312.14685,699.0
53011041011,53011043000,251.30594,0.0
53011041011,53011043100,209.98842,0.0
53011041011,53011042500,368.90152,390.0
53011041011,53011041326,78.31871,0.0
53011041011,53011042900,289.58932,195.0
53011041011,53011041205,204.84006,260.0
53011041104,53011041700,373.38696,285.0
53011041104,53011041320,308.17764,95.0
53011041104,53011043000,563.18756,0.0
53011041104,53011041331,709.22644,95.0
53011041104,53011041104,1329.6583,1071.0
53011041104,53011041105,440.01065,761.0
53011041104,53011041114,1093.0797,3737.0
