origin,destination,flow,target
53011041011,53011041104,170.71758,0.0
53011041011,53011041700,523.3298,195.0
53011041011,53011042601,445.6309,927.0
53011041011,53011041111,450.13284,260.0
53011041011,53011041332,63.48783,0.0
53011041011,53011042000,237.57915,0.0
53011041011,53011041205,271.25974,260.0
53011041011,53011041326,76.40382,0.0
53011041011,53011041319,56.1787,0.0
53011041011,53011042100,272.67276,130.0
53011041011,53011041110,319.93433,65.0
53011041011,53011041330,81.40532,65.0
53011041011,53011042900,194.76118,195.0
53011041011,53011041203,322.53467,1220.0
53011041011,53011041310,49.49589,0.0
53011041011,53011041313,188.20673,0.0
53011041011,53011043000,156.61745,0.0
53011041011,53011042400,479.58633,634.0
53011041011,53011041900,335.02753,553.0
53011041011,53011041208,118.435,0.0
53011041011,53011041206,162.92969,97.0
53011041011,53011041321,37.707096,65.0
53011041011,53011041309,71.31977,0.0
53011041011,53011041325,31.92527,0.0
53011041011,53011041312,174.1365,130.0
53011041011,53011041331,122.734566,0.0
53011041011,53011041600,502.537,520.0
53011041011,53011042800,299.34222,65.0
53011041011,53011041337,113.538635,130.0
53011041011,53011041105,302.24988,699.0
53011041011,53011041800,434.93604,65.0
53011041011,53011041003,253.67851,130.0
53011041011,53011041334,48.841488,65.0
53011041011,53011041320,88.31038,130.0
53011041011,53011041329,102.63508,195.0
53011041011,53011042300,406.6844,211.0
53011041011,53011041011,621.38416,1204.0
53011041011,53011043100,168.52219,0.0
53011041011,53011041114,321.04202,1415.0
53011041011,53011041322,375.0413,569.0
53011041011,53011042700,543.8282,130.0
53011041011,53011042500,303.37726,390.0
53011041011,53011041328,63.39828,0.0
53011041011,53011041323,118.14261,130.0
53011041011,53011041112,314.70038,0.0
53011041011,53011041333,58.406353,0.0
53011041011,53011041317,171.76538,130.0
53011041011,53011040604,12.488816,65.0
53011041104,53011042900,265.00443,285.0
53011041104,53011041600,501.40738,380.0
53011041104,53011041328,303.74796,0.0
53011041104,53011041330,425.10413,0.0
53011041104,53011042400,197.28496,690.0
53011041104,53011042500,116.04777,190.0
53011041104,53011041337,482.15466,476.0
