origin,destination,flow,target
53011041011,53011041331,160.39525,0.0
53011041011,53011041337,116.01061,130.0
53011041011,53011041321,56.27337,65.0
53011041011,53011042601,488.70062,927.0
53011041011,53011041105,274.4051,699.0
53011041011,53011041110,132.41249,65.0
53011041011,53011041309,84.718735,0.0
53011041011,53011043000,294.36673,0.0
53011041011,53011041310,59.83492,0.0
53011041011,53011041332,77.99355,0.0
53011041011,53011041800,495.37244,65.0
53011041011,53011042100,426.35306,130.0
53011041011,53011041011,869.3763,1204.0
53011041011,53011041323,49.85951,130.0
53011041011,53011041313,191.21182,0.0
53011041011,53011042400,386.20636,634.0
53011041011,53011041003,356.1383,130.0
53011041011,53011041317,93.437256,130.0
53011041011,53011041208,208.15166,0.0
53011041011,53011043100,204.8417,0.0
53011041011,53011041114,224.53873,1415.0
53011041011,53011042900,322.7415,195.0
53011041011,53011042800,434.64423,65.0
53011041011,53011041203,175.77843,1220.0
53011041011,53011041325,27.353224,0.0
53011041011,53011041329,39.711967,195.0
53011041011,53011040604,24.226883,65.0
53011041011,53011041600,513.81573,520.0
53011041011,53011042700,367.60715,130.0
53011041011,53011041206,83.582825,97.0
53011041011,53011041900,498.6769,553.0
53011041011,53011041700,531.53204,195.0
53011041011,53011041322,89.29183,569.0
53011041011,53011042000,425.73773,0.0
53011041011,53011041112,181.25388,0.0
53011041011,53011041330,81.0841,65.0
53011041011,53011042300,425.19586,211.0
53011041011,53011041312,95.350494,130.0
53011041011,53011041333,94.12232,0.0
53011041011,53011041328,25.76317,0.0
53011041011,53011041104,177.04012,0.0
53011041011,53011041326,93.42545,0.0
53011041011,53011041319,54.443306,0.0
53011041011,53011042500,414.2913,390.0
53011041011,53011041320,36.340294,130.0
53011041011,53011041334,64.85849,65.0
53011041011,53011041205,199.50815,260.0
53011041011,53011041111,311.02417,260.0
53011041104,53011041011,341.05603,452.0
53011041104,53011040604,146.33505,95.0
53011041104,53011041319,300.3631,190.0
53011041104,53011042100,223.07718,95.0
53011041104,53011041317,501.99976,666.0
53011041104,53011041326,465.73334,618.0
53011041104,53011042700,343.75064,95.0
