geoid,commercial_landuse,food_point,food_poly,health_point,health_poly,industrial_landuse,main_road_line,natural_landuse,other_road_line,residential_landuse,residential_line,retail_landuse,retail_point,retail_poly,school_point,school_poly,transport_point,transport_poly,total_population
36059517901,8.681750899936337e-13,1.0,0.0,0.0,1.0,0.0,0.0,1.197209149989827e-13,1.358876873503647e-07,3.2175749522501835e-10,2.794119354632621e-07,9.721180449956698e-13,1.0,0.0,0.0,4.0,0.0,0.0,4676
36071014501,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.097857810013276e-09,1.7062506152160296e-06,1.0423174884504302e-10,1.0495646701496955e-06,0.0,0.0,3.0,2.0,2.0,0.0,0.0,4349
36085014607,0.0,13.0,4.0,3.0,0.0,0.0,0.0,1.653370490007222e-12,4.377077231882512e-08,0.0,1.0444186776440953e-07,0.0,6.0,1.0,0.0,0.0,0.0,0.0,4650
36003951000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7604516068505023e-10,1.918610581054192e-06,0.0,1.9082344711735647e-06,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3116
36103158803,0.0,0.0,0.0,0.0,0.0,0.0,4.7951956083241684e-08,0.0,4.012944521924721e-07,5.067963499948807e-10,3.805518565091961e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5825
36013035100,0.0,1.0,1.0,0.0,1.0,0.0,1.1871222302546853e-07,0.0,3.989053873421738e-07,0.0,5.947953835962677e-07,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4313
36065980003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.477975957850652e-08,0.0,4.923751114543762e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
36059411400,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.250860650031467e-13,1.930072200183321e-07,1.857903114999835e-12,5.225803477592645e-07,0.0,0.0,0.0,1.0,4.0,0.0,1.0,6971
36045062100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.905153171815344e-08,0.0,1.997311211518044e-07,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3818
36027060400,0.0,3.0,9.0,0.0,0.0,0.0,1.9004320247742346e-08,3.202369769990743e-12,2.130898877542833e-07,0.0,1.3953319581291168e-07,6.980146804987819e-12,1.0,1.0,4.0,0.0,0.0,0.0,2166
36047000700,0.0,19.0,0.0,9.0,0.0,0.0,7.798206881621069e-09,0.0,8.846630928763761e-09,0.0,2.4480065268911066e-08,1.0351016000017005e-13,7.0,0.0,2.0,2.0,0.0,1.0,4415
36061029100,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.8371907242678143e-08,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,10509
36107020701,0.0,3.0,0.0,0.0,0.0,2.642079385006128e-12,0.0,1.0543483005001836e-10,7.753925541586917e-07,0.0,9.946648427505645e-07,0.0,2.0,0.0,2.0,4.0,0.0,0.0,2968
36081092200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.146696899959274e-13,4.5857813926081817e-08,1.3025286458503038e-10,2.03917768667276e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2208
36111950400,0.0,0.0,0.0,0.0,0.0,0.0,1.828280815250971e-07,0.0,8.677044884844709e-07,0.0,1.4160372125546378e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4025
36103111507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.558994225207894e-08,0.0,7.737936638807837e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2321
36001001902,0.0,0.0,0.0,0.0,0.0,0.0,1.9075112681738808e-09,4.935534699997762e-13,4.61367737832925e-08,0.0,1.1675680919901212e-07,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2566
