region_index,census_tracts_geoids
350,"36111952901, 36111952100, 36111952000, 36111951900, 36111951700, 36111951800, 36111952400, 36111952200, 36111951300, 36111952500, 36111952700, 36111952600, 36111952300, 36111951500, 36111951600, 36111951400, 36111951200"
351,"36111951100, 36111950500, 36111950100, 36111950300, 36111954900, 36111950400, 36111950200"
353,"36039080202, 36039080201"
357,"36091061500, 36091060506, 36091060507"
366,36033950800
370,"36047066600, 36047067800, 36047103402, 36081107202, 36081094201, 36081094202, 36081100804, 36047099400, 36047097400, 36047099800, 36047068600, 36059411600, 36047099600, 36081097202, 36081093401, 36047069000, 36047102600, 36081097206, 36047099000, 36047105804, 36047095800, 36081096400, 36081095400, 36081091602, 36081101003, 36047069200, 36081103202, 36081093800, 36081091800, 36047101600, 36081097207, 36081094203, 36081099801, 36047070602, 36047069601, 36047100400, 36059411200, 36047101400, 36047070203, 36047098600, 36081101002, 36047097000, 36081100803, 36047102801, 36047102400, 36047095600, 36059411301, 36047102000, 36081101004, 36047070202, 36047096800, 36081100801, 36047095000, 36047095400, 36081093402, 36059411302, 36081092800, 36081107201, 36047067000, 36047069602, 36047102802, 36047068800, 36047102200, 36081103201, 36047099200, 36059411000, 36047100600, 36047070000, 36047094402, 36047096600, 36047103401, 36081099802, 36047096000, 36047070601, 36047072000, 36047107002, 36081097205, 36059411100, 36047096400, 36047096200, 36059411400, 36081092200, 36047070201, 36047098800, 36081099200, 36047069800, 36047101800, 36081071600, 36081097204, 36047101200, 36047100800, 36047101000, 36047098400, 36081066401, 36059416300, 36081091603"
372,"36005020200, 36119000602, 36119007000, 36005022101, 36005013800, 36005025400, 36005025700, 36119002402, 36005035100, 36005027700, 36005016400, 36005018301, 36005046204, 36005014701, 36005035800, 36005023200, 36005016600, 36119006700, 36119001401, 36005014702, 36005022403, 36005007200, 36119000401, 36119005100, 36005034400, 36119003700, 36005034300, 36119003400, 36119002800, 36005023800, 36005024000, 36119006301, 36005033601, 36005044200, 36005044400, 36005004400, 36119001101, 36005016500, 36005030202, 36005035000, 36119005703, 36005016700, 36005036800, 36005023703, 36005024501, 36005040502, 36119003100, 36005037504, 36005033500, 36005044800, 36005006900, 36005043102, 36005038301, 36005032600, 36005040600, 36005045102, 36005046203, 36005012701, 36005015300, 36005022300, 36005048402, 36005023502, 36119000403, 36005023301, 36005005001, 36005028900, 36059301102, 36005038500, 36005013000, 36005041800, 36005029302, 36005039000, 36005024700, 36005023600, 36119002106, 36119001800, 36005024400, 36005041400, 36005036100, 36005040701, 36119005400, 36061030700, 36005021700, 36005025500, 36005043503, 36119002201, 36005021002, 36005040800, 36005037600, 36005026100, 36061029300, 36119005800, 36005006400, 36119006802, 36005022401, 36005042300, 36005019500, 36005030000, 36005022500, 36005039700, 36059301101, 36005043600, 36005040702, 36005021302, 36119000802, 36119004700, 36005031200, 36005021301, 36005038200, 36119006302, 36005031600, 36005031000, 36005030701, 36119000103, 36005027900, 36005026702, 36005027401, 36119005902, 36005038600, 36005039100, 36005014400, 36005041900, 36119010100, 36005015900, 36005020400, 36005029500, 36005033400, 36005021001, 36005036700, 36005045800, 36005026601, 36005021602, 36119007402, 36119002300, 36005043400, 36005012102, 36119001504, 36059301000, 36005021501, 36005004800, 36005042000, 36005014500, 36005027402, 36005042800, 36005039800, 36005035600, 36119000501, 36005034800, 36119007200, 36119005300, 36005015500, 36005012500, 36005028500, 36119000601, 36005046208, 36119004900, 36005023100, 36005026400, 36005025300, 36119006000, 36119000803, 36005043502, 36005017902, 36005039600, 36005039300, 36005026500, 36005037200, 36005028800, 36005004001, 36005019400, 36005028700, 36119006801, 36005026602, 36005014900, 36005024100, 36005021800, 36119002101, 36005033000, 36119001200, 36005007800, 36119006600, 36005037100, 36119006100, 36005024300, 36005007100, 36005042100, 36005046207, 36005041300, 36005008600, 36005036400, 36005036501, 36005006100, 36119007401, 36005011900, 36005009600, 36005015800, 36005003800, 36119003600, 36005025200, 36005046209, 36005001600, 36005037400, 36119005002, 36119007300, 36005025000, 36005021502, 36119006500, 36005045101, 36119004002, 36005041500, 36005012101, 36061029900, 36119001900, 36005030201, 36119008403, 36119003200, 36005036502, 36119008404, 36005005200, 36119002103, 36005037300, 36005020601, 36005035900, 36005045600, 36005014300, 36005040100, 36119009800, 36005043101, 36005002800, 36005031400, 36005038303, 36119015100, 36059301200, 36005040304, 36005014100, 36005018502, 36005036000, 36005018302, 36005022000, 36005033602, 36005021601, 36119002204, 36005023302, 36005041100, 36005042901, 36005020000, 36005016900, 36005015700, 36005009200, 36005030100, 36119006900, 36005033802, 36005017500, 36005022702, 36005046000, 36005023900, 36005012901, 36005017702, 36005030900, 36059300100, 36119000502, 36119007500, 36005033201, 36005016100, 36119001402, 36005022703, 36005039400, 36005016300, 36005038900, 36005026900, 36005011502, 36005038000, 36005032800, 36119000300, 36119004500, 36119008401, 36005038700, 36005051601, 36119000900, 36119002600, 36005036902, 36119000104, 36005039200, 36119001304, 36005042500, 36119002405, 36005007600, 36005017901, 36119002203, 36005038800, 36119006400, 36005021900, 36005039901, 36005018400, 36119005600, 36005007700, 36005033202, 36119001502, 36005027600, 36119001505, 36119001305, 36005032300, 36119001302, 36005032400, 36005043501, 36119003000, 36119003800, 36005004200, 36119001600, 36005007400, 36005040400, 36119000204, 36119005901, 36005022404, 36005046206, 36005039902, 36005009800, 36005018101, 36005008700, 36005015200, 36005028300, 36119000202, 36005022901, 36005012300, 36005015100, 36005025100, 36119005001, 36119002104, 36005017100, 36005022102, 36005022200, 36005038304, 36005040501, 36119001000, 36005040900, 36005006700, 36005023704, 36119002404, 36005042600, 36005017300, 36005024900, 36119004600, 36005037800, 36005042200, 36119001701, 36119005200, 36005033700, 36061030300, 36005040303, 36119002107, 36119004200, 36005031800, 36005050400, 36005036901, 36005005400, 36005026701, 36005006200, 36005029700, 36005020502, 36005018102, 36005034200, 36119005500, 36005020900, 36119003500, 36119001102, 36005022800, 36119000203, 36005019700, 36005037000, 36119000801, 36005004600, 36005007000, 36005005600, 36119002401, 36119002900, 36119004001, 36005022701, 36005051602, 36119007100, 36005021200, 36119005702, 36005024600, 36119004802, 36119002000, 36005046205, 36005013100, 36119000702, 36119001702, 36005017701, 36119002202, 36119000404, 36119005704, 36005039500, 36005006000, 36005005002, 36119000701, 36005027300, 36005024800, 36061030900, 36005022902, 36005018501, 36005044901, 36119003300, 36119000101, 36119002403, 36119004100, 36005033801, 36005013500, 36005028100, 36119001503, 36005013300, 36005023000, 36005026300, 36005031900, 36005025600, 36005023702, 36005037900, 36005034000, 36005005300, 36005034500, 36119003900, 36119002700, 36005016000, 36005016200, 36005038100, 36005008900, 36005007500, 36005028400, 36005043000, 36005024502, 36005028600, 36119006200, 36005044902, 36005040302, 36005023501, 36119004801, 36119002105, 36119001301, 36119001403, 36005006800, 36005029600, 36005042902, 36005036300, 36005048401, 36119000205, 36005042400"
374,"36119012803, 36119014607, 36119014806, 36119014704, 36119013301, 36119013800, 36119013700, 36119014812, 36119013500, 36119013600, 36119014808, 36119014813, 36119014605, 36119014703, 36119014908, 36119012900, 36119014805, 36119013102, 36119014901, 36119014810, 36119013402, 36119014606, 36119013104, 36119014400, 36119014811, 36119013103, 36119014809, 36119013000, 36119014500, 36119013900, 36119014300"
375,"36079011202, 36119014907, 36079011300, 36079011000, 36119014903, 36079010901, 36079010600, 36079011201, 36079010902, 36079011502, 36079011400, 36079011100, 36079010500"
376,"36027050102, 36027060302, 36027060201, 36027190401, 36027080201, 36027140400, 36027050205, 36027060301, 36027300000, 36027190204, 36027050104, 36027050204, 36027190203, 36027190102, 36027140700, 36027190402, 36027080202, 36027190101, 36027050103, 36027610000, 36027060400, 36027020003, 36027050203"
