,origin,destination,flow
228,53007961002,53007960100,90.0
229,53007961002,53007960203,90.0
230,53007961002,53007960600,901.0
231,53007961002,53007960700,721.0
232,53007961002,53007960804,10074.0
233,53007961002,53007961002,6130.0
234,53007961002,53007961102,1442.0
235,53007961002,53007961301,180.0
236,53007961002,53007961304,1262.0
237,53007961002,53017950300,270.0
238,53007961002,53017950500,2389.0
239,53007961002,53017950600,90.0
240,53007961002,53017950700,180.0
241,53007961002,53017950800,2208.0
242,53007961002,53025010600,90.0
243,53007961002,53033022502,270.0
244,53007961002,53033023601,90.0
245,53007961002,53033024002,90.0
246,53007961002,53033024800,90.0
247,53007961002,53033032219,90.0
248,53007961002,53033032605,90.0
249,53007961002,53037975101,90.0
250,53007961002,53037975600,270.0
251,53007961002,53047970900,90.0
252,53007961002,53053060300,90.0
253,53007961002,53053062600,90.0
254,53007961002,53053071803,90.0
255,53007961002,53053071901,90.0
256,53007961002,53053072107,90.0
257,53007961002,53061040500,90.0
258,53007961002,53061040700,90.0
259,53007961002,53061041905,90.0
260,53007961002,53077001000,180.0
261,53007961102,53007960100,122.0
262,53007961102,53007960203,1406.0
263,53007961102,53007960600,1070.0
264,53007961102,53007960700,4066.0
265,53007961102,53007960801,122.0
266,53007961102,53007960804,21616.0
267,53007961102,53007961002,10120.0
268,53007961102,53007961102,11893.0
269,53007961102,53007961301,122.0
270,53007961102,53007961304,3424.0
271,53007961102,53011040715,122.0
272,53007961102,53017950300,642.0
273,53007961102,53017950500,7337.0
274,53007961102,53017950600,519.0
275,53007961102,53017950700,1345.0
276,53007961102,53017950800,6970.0
277,53007961102,53025010600,336.0
278,53007961102,53033023808,122.0
279,53007961102,53033024002,122.0
280,53007961102,53033032103,122.0
281,53007961102,53033032221,122.0
282,53007961102,53033032323,183.0
283,53007961102,53033032704,122.0
284,53007961102,53037975402,244.0
285,53007961102,53037975500,244.0
286,53007961102,53037975600,122.0
287,53007961102,53061040100,122.0
288,53007961102,53073001101,122.0
289,53007961102,53073001204,244.0
290,53007961102,53077001400,244.0
291,53007961200,53007960203,840.0
292,53007961200,53007960600,690.0
293,53007961200,53007960700,1530.0
294,53007961200,53007960801,120.0
295,53007961200,53007960804,7983.0
296,53007961200,53007961002,5042.0
297,53007961200,53007961102,3661.0
298,53007961200,53007961200,630.0
299,53007961200,53007961301,240.0
300,53007961200,53007961304,750.0
301,53007961200,53017950200,120.0
302,53007961200,53017950300,360.0
303,53007961200,53017950400,120.0
304,53007961200,53017950500,3211.0
305,53007961200,53017950600,480.0
306,53007961200,53017950700,480.0
307,53007961200,53017950800,3601.0
308,53007961200,53033032704,120.0
309,53007961200,53037975101,180.0
310,53007961200,53037975402,120.0
311,53007961200,53037975600,120.0
312,53007961200,53043960400,120.0
313,53007961200,53053062600,120.0
314,53007961200,53077000200,120.0
315,53007961301,53007960700,396.0
316,53007961301,53007960801,264.0
317,53007961301,53007960804,3599.0
318,53007961301,53007961002,1188.0
319,53007961301,53007961102,1056.0
320,53007961301,53007961200,264.0
321,53007961301,53007961301,264.0
322,53007961301,53007961304,726.0
323,53007961301,53017950500,396.0
324,53007961301,53017950800,1420.0
325,53007961304,53007960100,229.0
326,53007961304,53007960203,1168.0
327,53007961304,53007960600,593.0
328,53007961304,53007960700,1742.0
329,53007961304,53007960801,785.0
330,53007961304,53007960804,21851.0
331,53007961304,53007961002,8388.0
332,53007961304,53007961102,3619.0
333,53007961304,53007961200,153.0
334,53007961304,53007961301,383.0
335,53007961304,53007961304,4155.0
336,53007961304,53017950300,497.0
337,53007961304,53017950400,153.0
338,53007961304,53017950500,3006.0
339,53007961304,53017950600,593.0
340,53007961304,53017950700,459.0
341,53007961304,53017950800,3274.0
342,53007961304,53025010600,555.0
343,53007961304,53033000602,76.0
344,53007961304,53033023601,76.0
345,53007961304,53033024002,76.0
346,53007961304,53033032704,153.0
347,53007961304,53037975101,76.0
348,53007961304,53037975402,153.0
349,53007961304,53037975500,76.0
350,53007961304,53037975600,383.0
351,53007961304,53057952700,76.0
352,53007961304,53061051302,76.0
353,53007961304,53061051402,114.0
354,53007961304,53061051802,76.0
355,53007961304,53073001204,76.0
356,53007961304,53077000200,76.0
357,53007961304,53077000301,76.0
358,53007961304,53077000401,76.0
359,53007961304,53077000903,95.0
360,53009002400,53009002400,857.0
361,53009002400,53009000300,857.0
362,53009002400,53009000900,548.0
363,53009002400,53009001000,137.0
364,53009002400,53009001300,137.0
365,53009002400,53009001500,137.0
366,53009002400,53009002100,274.0
367,53009002400,53009002100,137.0
368,53009002400,53035090202,137.0
369,53009002400,53041970300,137.0
370,53009002400,53041970700,137.0
371,53009002400,53041970800,137.0
372,53009002400,53053072407,137.0
373,53009002400,53073010301,137.0
374,53009000300,53009002400,132.0
375,53009000300,53009000300,16600.0
376,53009000300,53009002400,531.0
377,53009000300,53009000600,132.0
