STATE,geoid,LOCATION,AREA_SQMI,svi
NY,36075021202,New York,1.726091348236291e-09,0.6307
NY,36075021003,New York,1.1001594710411637e-09,0.12
NY,36075020503,New York,3.955138864071555e-09,0.3657
NY,36075020303,New York,3.880184154043994e-09,0.4581
NY,36075021001,New York,2.612729351278836e-09,0.5398
NY,36075020501,New York,4.406207364394936e-09,0.5239
NY,36075020903,New York,1.1922641826782034e-09,0.2862
NY,36075020101,New York,1.035750175595233e-08,0.6676
NY,36075020904,New York,2.638300494652273e-09,0.0903
NY,36075021203,New York,2.6820756320718075e-09,0.3071
NY,36075020905,New York,8.154791511596225e-10,0.0778
NY,36075021201,New York,7.430249668352677e-10,0.5336
NY,36075020201,New York,5.0295349884264024e-09,0.3896
NY,36075021002,New York,1.745010054536262e-09,0.2904
NY,36075020304,New York,2.4078609206080397e-09,0.4883
NY,36075021503,New York,2.264699200959049e-09,0.3217
NY,36075021504,New York,2.4287163238064912e-09,0.6028
NY,36075020707,New York,1.1778089720626394e-09,0.3544
NY,36067016801,New York,4.309909604729e-09,0.0553
NY,36067010100,New York,5.617066396227612e-10,0.0376
NY,36067005300,New York,2.966414581028032e-11,0.9595
NY,36067000300,New York,2.31228690470171e-11,0.6971
NY,36067002300,New York,2.4428417168268894e-11,0.9437
NY,36067015000,New York,6.52424209940335e-10,0.1628
NY,36067015400,New York,5.883901924722991e-10,0.5499
NY,36067011402,New York,4.8411441801065765e-09,0.1523
NY,36067016802,New York,3.427980484689926e-09,0.1356
NY,36067011011,New York,1.29959916589235e-10,0.2681
NY,36067010400,New York,2.4843115978926227e-09,0.1491
NY,36067001400,New York,1.7735624520689476e-11,0.8876
NY,36067000100,New York,2.5859036603831475e-10,0.0249
NY,36067005602,New York,4.2190725198185047e-11,0.3176
NY,36067000600,New York,2.6329016618531316e-11,0.9819
NY,36067011300,New York,2.5070789245268147e-09,0.2282
NY,36067016200,New York,1.6570680925386217e-10,0.4062
NY,36067012700,New York,3.8904819069340407e-10,0.1053
NY,36067004302,New York,5.107274668781127e-11,0.7022
NY,36067013701,New York,3.2102965212996435e-10,0.587
NY,36067015601,New York,1.4284878197027341e-09,0.2723
NY,36067012900,New York,7.665571462803567e-11,0.7948
NY,36067013000,New York,1.0191977911171988e-10,0.5241
NY,36067013100,New York,1.556517703127789e-10,0.0565
NY,36045062200,New York,2.0288117719035825e-10,0.6172
NY,36045061400,New York,1.0634553892403267e-10,0.7619
NY,36059303301,New York,2.804980933265764e-11,0.4856
NY,36059303302,New York,3.873533469294476e-11,0.1829
NY,36059303400,New York,6.064626759300016e-11,0.0226
NY,36059303500,New York,5.5671046217512735e-11,0.1854
NY,36059303600,New York,7.084316349770577e-11,0.3147
NY,36059303700,New York,7.126329807238635e-11,0.1403
NY,36059303800,New York,1.0218210935881446e-10,0.4347
NY,36059414800,New York,9.843613868142472e-11,0.0852
NY,36059414900,New York,9.309375071325554e-11,0.1974
NY,36059415000,New York,9.382715435804246e-11,0.0601
NY,36059415101,New York,4.8340926774650704e-11,0.069
NY,36059415102,New York,2.3727059564793265e-10,0.0029
NY,36059415201,New York,6.674029171456981e-11,0.0333
NY,36059415202,New York,1.022686782535109e-10,0.0057
NY,36059415300,New York,7.995159269046617e-11,0.3195
NY,36067016502,New York,1.2486099485114158e-09,0.1995
NY,36067016600,New York,2.262156116969959e-09,0.1424
NY,36081015802,New York,1.1451172576128706e-11,0.7889
NY,36081018102,New York,3.974823757560201e-12,0.3725
NY,36037951300,New York,7.913511056137206e-09,0.2443
NY,36037951100,New York,7.386453124858811e-09,0.0877
