geoid,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,natural_landuse,road_residential,road_primary,road_other,transport_point,transport_area,food_point,food_area,health_point,health_area,education_point,education_area,retail_point,retail_area,total_population
36117020500,0.0,0.0,0.0,0.0050112277202297,0.0,80.21365867444645,10.12864330204843,48.652913152535504,7,0.0219250693633463,0,0.0,0,0.0,3,0.2890079628729159,3,0.0,4566
36117020103,1.91805905752207e-05,0.0,0.9486387723835852,0.0,0.0,35.14169907375147,0.0,18.05156514670039,9,0.0346340425729431,0,0.0,0,0.0,0,0.0,0,0.0,2675
36117020105,0.0415813823255614,0.0,0.0,0.0724479583531889,0.0,24.71465851555997,13.219065059956268,13.816562429690748,8,0.0051717205481011,3,0.0014125712864078,1,0.0,1,7.63685159235015e-05,8,0.0,2947
36117020104,0.434350135281544,0.0,0.0,0.0,0.0,25.6134499237145,0.0,13.473371785311487,6,0.0070059804923582,0,0.0,0,0.0,0,0.0,0,0.0,2502
36117020303,0.1996512988395744,0.0,0.1232730261469725,0.0,0.0,41.76349092153339,4.954818425181358,35.20780661215335,28,0.1244513365391426,5,0.0032935053140878,0,0.0,0,0.0,21,0.0,3898
36117020601,0.1328419192598358,0.0,0.0,0.0,0.0,21.601403057009023,8.914215849735267,23.87921910849135,5,0.0020638056350523,0,0.0,0,0.0,0,0.0,0,0.0,1568
36117020106,0.0,0.0,0.0294217608409831,0.0,0.0,19.841546093615783,10.416185244942772,8.335446328068352,14,0.0549616795084295,1,0.0,1,0.0,4,0.7511620271205387,7,0.0,2322
36117020602,0.1375324738424401,0.0,0.0,0.0,0.0,47.426263567164106,8.537874891906375,38.60006197972549,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2402
36117020302,0.0685655009906826,0.0,0.2177350241521672,0.0602820128985079,0.0,69.4426645224157,7.5392924626985,41.25653145856081,20,0.080625925925497,2,0.0001490960630394,0,0.0,6,0.5070165804266423,9,0.0,5372
36103123600,1.9188199649449496,0.0643106076862116,0.0,0.084432073636321,0.0,31.987689549245403,1.659377383468084,0.0039215653928886,0,0.0082094054125438,2,0.0,0,0.0,0,0.0,1,0.0,3652
36103146001,3.23511566661185,0.0,2.4952222483180493e-05,0.0,0.0,22.32873066483413,0.0,5.95210364124267,0,0.0062646422725355,1,0.0,0,0.0,3,0.4905357027843454,2,0.0,5096
36103190402,2.503321793250119,0.0,0.2985536647602221,0.0,0.0,48.08932734605333,11.929933754474566,19.93298265913614,0,0.0042839014442699,0,0.0,0,0.0,0,0.0,0,0.0,2650
36103158709,2.269965877075375,0.0244377074326065,0.0,0.1129457919743896,0.0,32.3791498422393,5.262220316417597,11.114346368808627,0,0.029900776088753,1,0.0,0,0.0,3,0.8165851851107992,2,0.0,2822
36103145803,5.15477376014426,0.3118197727576909,0.0,0.0,0.0,36.85671427611656,3.499814396532676,10.414517836641826,0,0.076886019333537,0,0.0,0,0.0,5,0.5827147566137085,0,0.0,4742
36103145804,2.4404962481309176,0.2916204229930429,1.602339172852791,0.2230314791556311,0.0,26.4460322889604,9.120088166760844,16.655401375285827,0,0.1503953403811847,2,0.0,1,0.0,1,0.0786167274527961,8,0.0,3567
36103145808,3.140846335252694,0.0,0.0,0.0276134227395249,0.0,17.223999895725065,0.0,9.59239810902604,0,0.0185156618487252,3,0.0,1,0.0,1,0.0594749224118621,3,0.0,3065
36103145901,2.9485626131120823,0.0,1.6882524629367468,0.0,0.0,27.062890855809822,0.0,6.289536966497753,1,0.0168698570499971,0,0.0,0,0.0,1,0.0702336797360053,2,0.0,3458
36103145903,3.168280746609503,0.0,0.0,0.0244247189103477,0.0,35.95086056209777,0.0,9.334865579483417,0,0.0203632629070866,1,0.0006734288470628,0,0.0,0,0.0,2,0.0,5894
36103158206,1.9253783783826293,0.0,0.0533033231091387,0.0,0.0,33.02661504394123,3.8141506284266686,6.321666295406397,0,0.0546707514390282,22,0.0005329589928095,2,0.1186159251399337,5,0.1942569705425128,41,0.0,3928
36103158207,0.0,0.0,0.0325819620090656,0.0,0.0,54.09519134885373,0.055734070106095,13.167579339986894,2,0.0534584705123714,2,0.0007231465238452,1,0.1720749025440196,1,0.1393521737019146,0,0.0,4842
36103158205,2.007213895143426,0.0,0.1359220925230614,0.0045502094000103,0.0,19.17331133065235,1.5721948374129486,6.399616475561463,0,0.0138864950093764,2,0.000895849657398,0,0.0,1,0.3660986570125098,3,0.0,1713
