geoid_o,geoid_d,pop_flows
53005011501,53077000901,108.0
53005011503,53005011001,2559.0
53005011503,53005011002,9540.0
53005011503,53005011100,3848.0
53005011503,53005011200,3787.0
53005011503,53005011300,2989.0
53005011503,53005011401,286.0
53005011503,53005011402,327.0
53005011503,53005011501,266.0
53005011503,53005011503,12754.0
53005011503,53005011700,655.0
53005011503,53013960200,163.0
53005011503,53017950500,163.0
53005011503,53021020100,716.0
53005011503,53021020200,388.0
53005011503,53021020300,491.0
53005011503,53021020400,573.0
53005011503,53021020502,409.0
53005011503,53021020605,327.0
53005011503,53021020700,81.0
53005011503,53021980100,593.0
53005011503,53025010600,81.0
53005011503,53033031903,81.0
53005011503,53033032704,81.0
53005011503,53037975402,81.0
53005011503,53061051924,102.0
53005011503,53063012300,81.0
53005011503,53063014001,184.0
53005011503,53063014500,81.0
53005011503,53071920000,81.0
53005011503,53071920100,81.0
53005011503,53071920300,81.0
53005011503,53071920802,81.0
53005011503,53073001000,81.0
53005011503,53075000100,245.0
53005011503,53075000400,81.0
53005011503,53075000500,81.0
53005011504,53005011001,1027.0
53005011504,53005011002,2034.0
53005011504,53005011100,2699.0
53005011504,53005011200,1490.0
53005011504,53005011300,1853.0
53005011504,53005011401,402.0
53005011504,53005011402,221.0
53005011504,53005011501,402.0
53005011504,53005011503,3525.0
53005011504,53007960200,261.0
53005011504,53007961000,161.0
53005011504,53013960200,80.0
53005011504,53021020100,241.0
53005011504,53021020200,564.0
53005011504,53021020300,483.0
53005011504,53021020400,423.0
53005011504,53021020502,644.0
53005011504,53021020605,886.0
53005011504,53021020700,100.0
53005011504,53021980100,100.0
53005011504,53025010600,80.0
53005011504,53063011000,80.0
53005011504,53063011702,80.0
53005011504,53071920000,80.0
53005011504,53071920500,80.0
53005011504,53075000600,181.0
53005011600,53005011001,133.0
53005011600,53005011002,515.0
53005011600,53005011100,133.0
53005011600,53005011200,133.0
53005011600,53005011501,66.0
53005011600,53005011503,266.0
53005011600,53005011700,266.0
53005011600,53021020100,66.0
53005011600,53021020200,66.0
53005011600,53021020502,66.0
53005011600,53021980100,66.0
53005011700,53005011001,168.0
53005011700,53005011002,168.0
53005011700,53005011100,168.0
53005011700,53005011200,252.0
53005011700,53005011300,252.0
53005011700,53005011503,84.0
53005011700,53005011600,84.0
53005011700,53005011700,19556.0
53005011700,53005011800,168.0
53005011700,53013960200,84.0
53005011700,53021020100,337.0
53005011700,53021020200,168.0
53005011700,53021020300,168.0
53005011700,53021020400,210.0
53005011700,53021020502,84.0
53005011700,53021020605,168.0
53005011700,53021020700,84.0
53005011700,53033032704,84.0
53005011700,53037975100,84.0
53005011700,53039950300,84.0
53005011700,53061041811,84.0
53005011700,53063003500,84.0
53005011700,53063004601,84.0
53005011700,53063014100,84.0
53005011700,53071920500,84.0
53005011700,53075000800,168.0
