geoid,total_population
53061041701,5902
53061041703,6142
53061041704,5714
53061041805,6261
53061041808,4364
53061041809,4838
53061041810,5694
53061041812,6157
53061041901,6311
53061041904,6766
53033022300,2569
53033024200,3283
53061041905,6383
53061042001,5584
53061042003,2852
53061042004,5142
53061042005,5062
53061042006,5229
53061050101,2932
53061050102,6029
53061050200,4088
53061050300,5975
53061050402,5569
53061050600,1073
53061050700,6375
53061050800,6939
53061050900,3871
53061051000,4332
53061051100,3970
53061051200,4793
53061051500,6124
53061051601,5184
53061051602,3921
53061051701,6955
53061051702,4355
53061051802,6561
53061051803,8365
53061051804,6690
53061051912,2366
53061051913,4595
53061051914,4414
53061051916,4201
53061051917,4442
53061051918,6058
53061051921,4743
53061051922,5467
53033025601,5182
53033025602,6479
53033025702,3203
53033025803,4518
53033025804,3479
53033025805,5174
53033025806,5033
53033026001,5464
53033026300,1574
53033026400,6263
53033026500,4633
53061051926,6072
53061051927,5397
53061051928,5570
53061052004,6656
53061052005,5626
53061052006,4142
53061052007,5835
53061052105,1746
53061052107,8258
53061052108,5863
53061052112,2817
53061052113,3094
53061052114,4661
53061052203,5920
53061052204,5540
53061052206,5292
53061052207,6477
53061052208,4037
53061052302,5043
53061052401,4245
53061052402,4328
53061052502,5078
53033026600,2373
53033026700,5604
53033026801,5630
53033026802,5870
53033027000,3205
53033027100,4068
53033029203,4316
53033029304,4892
53033029305,4518
53033029306,3444
53033029307,4233
53033029403,6249
53061053102,4910
53061053202,4601
53061053604,5175
